 950876489,CONNECTED ,   0.001341, muffin.indexdata.dk:9002/E97, , 0, 0
 950876489,CONNECTED ,   0.001592, muffin.indexdata.dk:8888/Default, , 0, 0
 950876489,CONNECTED ,   0.001684, bagel.indexdata.dk/Marc, , 0, 0
 950876489,CONNECTED ,   0.001911, bagel.indexdata.dk/gils, , 0, 0
 950876489,CONNECTED ,   0.002035, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876489,INIT      ,   0.009192, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876489,INIT      ,   0.024619, bagel.indexdata.dk/Marc, , 0, 0
 950876489,INIT      ,   0.026139, muffin.indexdata.dk:9002/E97, , 0, 0
 950876489,INIT      ,   0.046127, muffin.indexdata.dk:8888/Default, , 0, 0
 950876489,FAILED    ,   0.046881, bagel.indexdata.dk/Marc, search error, 0, 0
 950876489,FINISHED  ,   0.047016, bagel.indexdata.dk/Marc, , 0, 0
 950876489,FAILED    ,   0.060261, muffin.indexdata.dk:9002/E97, search error, 0, 0
 950876489,FINISHED  ,   0.060485, muffin.indexdata.dk:9002/E97, , 0, 0
 950876489,INIT      ,   0.064298, bagel.indexdata.dk/gils, , 0, 0
 950876489,SEARCH    ,   0.083986, muffin.indexdata.dk:8888/Default, , 0, 0
 950876489,FINISHED  ,   0.084146, muffin.indexdata.dk:8888/Default, , 0, 0
 950876489,FAILED    ,   0.088662, ximum.indexdata.dk:9999/resolutions, search error, 0, 0
 950876489,FINISHED  ,   0.088829, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876489,SEARCH    ,   0.090702, bagel.indexdata.dk/gils, , 9, 0
 950876489,PRESENT   ,   0.126084, bagel.indexdata.dk/gils, failed, 0, 0
 950876489,FINISHED  ,   0.126188, bagel.indexdata.dk/gils, , 0, 0
 950876489,COMPLETE  ,   0.126206, (all), , 0, 0
 950876492,CONNECTED ,   0.000596, muffin.indexdata.dk:9002/E97, , 0, 0
 950876492,CONNECTED ,   0.000838, muffin.indexdata.dk:8888/Default, , 0, 0
 950876492,CONNECTED ,   0.000930, bagel.indexdata.dk/Marc, , 0, 0
 950876492,CONNECTED ,   0.001110, bagel.indexdata.dk/gils, , 0, 0
 950876492,CONNECTED ,   0.001257, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876492,INIT      ,   0.008360, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876492,INIT      ,   0.018452, bagel.indexdata.dk/Marc, , 0, 0
 950876492,INIT      ,   0.024710, muffin.indexdata.dk:9002/E97, , 0, 0
 950876492,FAILED    ,   0.040495, bagel.indexdata.dk/Marc, search error, 0, 0
 950876492,FINISHED  ,   0.040674, bagel.indexdata.dk/Marc, , 0, 0
 950876492,INIT      ,   0.048323, muffin.indexdata.dk:8888/Default, , 0, 0
 950876492,INIT      ,   0.058978, bagel.indexdata.dk/gils, , 0, 0
 950876492,FAILED    ,   0.060665, muffin.indexdata.dk:9002/E97, search error, 0, 0
 950876492,FINISHED  ,   0.060778, muffin.indexdata.dk:9002/E97, , 0, 0
 950876492,SEARCH    ,   0.085355, muffin.indexdata.dk:8888/Default, , 0, 0
 950876492,FINISHED  ,   0.085575, muffin.indexdata.dk:8888/Default, , 0, 0
 950876492,SEARCH    ,   0.085628, bagel.indexdata.dk/gils, , 9, 0
 950876492,FAILED    ,   0.087761, ximum.indexdata.dk:9999/resolutions, search error, 0, 0
 950876492,FINISHED  ,   0.087854, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876492,PRESENT   ,   0.120268, bagel.indexdata.dk/gils, failed, 0, 0
 950876492,FINISHED  ,   0.120381, bagel.indexdata.dk/gils, , 0, 0
 950876492,COMPLETE  ,   0.120399, (all), , 0, 0
 950876494,CONNECTED ,   0.000545, muffin.indexdata.dk:9002/E97, , 0, 0
 950876494,CONNECTED ,   0.000790, muffin.indexdata.dk:8888/Default, , 0, 0
 950876494,CONNECTED ,   0.000881, bagel.indexdata.dk/Marc, , 0, 0
 950876494,CONNECTED ,   0.001021, bagel.indexdata.dk/gils, , 0, 0
 950876494,CONNECTED ,   0.001220, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876494,INIT      ,   0.008265, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876494,INIT      ,   0.019415, bagel.indexdata.dk/Marc, , 0, 0
 950876494,INIT      ,   0.023800, muffin.indexdata.dk:9002/E97, , 0, 0
 950876494,FAILED    ,   0.041508, bagel.indexdata.dk/Marc, search error, 0, 0
 950876494,FINISHED  ,   0.041694, bagel.indexdata.dk/Marc, , 0, 0
 950876494,INIT      ,   0.046970, muffin.indexdata.dk:8888/Default, , 0, 0
 950876494,FAILED    ,   0.050530, muffin.indexdata.dk:9002/E97, search error, 0, 0
 950876494,FINISHED  ,   0.050647, muffin.indexdata.dk:9002/E97, , 0, 0
 950876494,INIT      ,   0.058910, bagel.indexdata.dk/gils, , 0, 0
 950876494,SEARCH    ,   0.070817, muffin.indexdata.dk:8888/Default, , 0, 0
 950876494,FINISHED  ,   0.070987, muffin.indexdata.dk:8888/Default, , 0, 0
 950876494,SEARCH    ,   0.085523, bagel.indexdata.dk/gils, , 9, 0
 950876494,FAILED    ,   0.086797, ximum.indexdata.dk:9999/resolutions, search error, 0, 0
 950876494,FINISHED  ,   0.086904, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876494,PRESENT   ,   0.121230, bagel.indexdata.dk/gils, failed, 0, 0
 950876494,FINISHED  ,   0.121337, bagel.indexdata.dk/gils, , 0, 0
 950876494,COMPLETE  ,   0.121355, (all), , 0, 0
 950876496,CONNECTED ,   0.000778, muffin.indexdata.dk:9002/E97, , 0, 0
 950876496,CONNECTED ,   0.001021, muffin.indexdata.dk:8888/Default, , 0, 0
 950876496,CONNECTED ,   0.001168, bagel.indexdata.dk/Marc, , 0, 0
 950876496,CONNECTED ,   0.001307, bagel.indexdata.dk/gils, , 0, 0
 950876496,CONNECTED ,   0.001470, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876496,INIT      ,   0.008356, ximum.indexdata.dk:9999/resolutions, , 0, 0
 950876496,INIT      ,   0.018489, bagel.indexdata.dk/Marc, , 0, 0
 950876496,INIT      ,   0.025407, muffin.indexdata.dk:9002/E97, , 0, 0
 950876496,FAILED    ,   0.040572, bagel.indexdata.dk/Marc, search error, 0, 0
 950876496,FINISHED  ,   0.040706, bagel.indexdata.dk/Marc, , 0, 0
 950876496,INIT      ,   0.045839, muffin.indexdata.dk:8888/Default, , 0, 0
